,wallet,总利润,盈亏比,最大盈利涨幅,最大回撤涨幅,
489,As8keiQt3RWXg2ocrRNyowm7MBtXqXvjNHymACBRw2SM,6531.229082,6934.986086,9.126253971,-0.003326678,
201,CARnVZjw13VHbxDm6rbqc7zM1x9qjQ4RbbYfKD19Eadh,3466.439023,2231.225112,2.890701638,-0.00115825,
93,7kLYh2f1632st4NtWyNsKFGZ1et1o6CQ6xwVTYT22xLS,5581.023477,1263.75944,0.794217073,-0.983424718,
23,5CHHCkyNWMswuAP9zXF4pnd76FAvfEUrWjG1otBeiaLB,918.5738893,1000,193.358267,1000,
6,DMzwYZKDCeZcxgmJGxE12Zfyo2z8pJLVLZbThtNQBQvQ,28805.44353,1000,74.28076624,1000,
279,CmqtKmDzccP6249HeuXJUvyj91SAkcoEqsNwrDvsy2mV,59780.69354,1000,54.42877763,1000,
53,6JGTXeAGFbxMprDdjWjoXirUCH2BKS2HgGKgDoNPn154,19242.53825,1000,29.41840145,1000,
344,7r6MeDfM1eGFP727ZDnCrYn2AFFFL4gNcp3CmR3MRZqF,22016.77644,1000,28.13059576,1000,
292,7wmKFpRhkD23WXyamkUpcW2PwWBYUFLvKhGo631jaUB1,16788.24621,1000,27.71553753,1000,
207,HehhtcNvaZ8mDAcJ2uXm1h6HoJBvjb154F8NXzRnTRXG,17751.62736,1000,25.5614369,1000,
86,HYStttt9XvrULVdpQQDTgGVoZag5uJm7zbH4fGF1yzcZ,13706.87749,1000,24.22082698,1000,
136,GNenbzXKGW6C6W6DSAhrLusbvDCrh3rbaS89R2dDnpwt,6159.660955,1000,23.06761999,1000,
364,A7Ts56oa6vTuYHyUSbhkXZErVuyTvnZ9xTTkjUrFi8rr,11742.87484,1000,17.59308054,1000,
249,2ajwkDzaWMf2uzYvQi1zEMQkXe12mnM5a68P6r59p2vn,17289.54807,1000,16.96999331,1000,
43,5oTqqchdvKw4tbBeExRgK2NAd6yrD6uocmp9TCYnmwar,6978.682095,1000,16.38577398,1000,
235,HnuXkZ5AAw3fPswQt4iJYZkvSHWfaAurkZp5vKGiTohk,13629.35059,1000,15.50171706,1000,
368,Ckq31o79wSDJQUVTUSGXmQFMTxouy5XNCdzxsSYtJAsX,12767.63811,1000,14.41404978,1000,
458,ENoGfpFkGUNpFrMe6Y4ddSSqdmLii6j8Tbrz4M6MD5Af,10352.06638,1000,12.3958115,1000,
36,3ZiCHcVZ152CtzcnMEbt5d8FzXY7HVSgyyb7c9KT4gpF,34040.84433,1000,12.38967803,1000,
481,7dGN6nT4Ap5CZgKUvu423JCfRe87XqTVFyLVXVjMEj1u,8893.327594,1000,10.70540984,1000,
502,2GstvpUP7xY2X5zGd2YeJ64uPVuVjfvoc9Bt4uNMmvCV,9246.551488,1000,10.251297,1000,
188,2qjnwGaES8gNjpwX3dkSGwmKUHpTs8Swd5Vj2V356njZ,8670.718623,1000,9.685670616,1000,
299,3BHgjVmGiS1vnJW3Q8HqxaSJkc4Am9V4XsZcKdsibewQ,7111.819783,1000,7.647613723,1000,
135,CRKJcJ3ipcdgYk3W1RS2TFz9rjMDGmCzPcoBncypt1BM,3123.124018,1000,7.595041712,1000,
300,hfLaKmoUc3jxzLGFxsNa9LrWLF8L2cZEXXxGj4ARkJF,9283.308293,1000,6.670124963,1000,
100,5MKG8yQ2XSrV5cwJ2ApMFKNhtMW6PQJbRUCvCf5fSXCs,8128.87092,1000,6.370020516,1000,
444,234EGXKMvqYbqVXwRexMHdCrobvJRVjhVsNcvo1atB7m,6436.281833,1000,6.050439744,1000,
291,4EGERviSf5ggYMYQ3dRnDxnKoMyJvk7YR4sRQd5V7FMR,5352.522036,1000,6.011575009,1000,
91,EzJtosHq9zQ43U8rW5Nat6Mbs3cW19p8jW6W48ugPnwH,5377.650379,1000,5.900183624,1000,
298,8rXrvE9Gc9JXnBPC1SghvdjnFc7HpqViKVjH544WeUxW,5004.354317,1000,5.321257556,1000,
170,CzKMcaUuxi5ftH9bcDptSJrQ9A1U5nXNnWFtQcwrRMwS,3294.375414,1000,5.074439935,1000,
417,HbtL4Yg9GrZqHsSJGE4XeodDo71vHujdsAJzhhTqvdpp,2460.475401,1000,4.970138938,1000,
88,pEFRQpQsKYd7UE5e8PE35w9SZkTPkuzbDDw9aFYSone,3740.067183,1000,4.146900813,1000,
272,EfASomG1c9DrubHRdwbMcvoc1GBvdrjQB2MFz6mDn89N,1979.14727,1000,4.07294816,1000,
245,H1nZT4gGJutosWVpFvwzDtSC8suE31oiFKQ7SCqxn1pr,17783.13621,1000,3.695968042,1000,
268,ASU7yMbCiJzXWKLk57awm7n7EYHa2NNjetCnbZE48okD,1683.400504,1000,3.57789393,1000,
94,8DEvS8WavaoyMsqodfAd664sZSsjp8WneM8B56UWJ2ey,10140.26789,1000,3.181239714,1000,
326,FsnyJ7Q9n8wY3d2bszkSgJQDjr5hrzqWgZHdrnSpBo3M,1877.834181,1000,2.714050161,1000,
144,BbYp7Te2i9UZiqiTzCbo99yh6Vtphkyc81xaBmA5NwyL,3393.436013,1000,2.684397788,1000,
386,Dm6gJdZDTt9XZJTyZYEvjSqbv9jjuxwDZykCJTTB49Dm,3010.799045,1000,2.447568946,1000,
127,Gi84v7av39rYMhZFdNszwH9KZ3XRxo3c7RwJ3kmCjbuJ,1364.004121,1000,2.43132203,1000,
409,DHSH1WjAE7m7Cx9EkuuYgSmKMEep5KePhoZx6Xub571b,1196.383081,1000,2.348742749,1000,
261,2me8EunzioZ68wv9wYkYAyXPDqgAnYwfvjNYFYfAwwDz,3325.933239,1000,2.338404263,1000,
477,5jBhFCWjcj9vsrhL1kp3p1Z8AKLmTFArdoepD4J5kSyD,2149.246422,1000,2.042883945,1000,
64,8FAFpUY8emiHA3EJFrXYFXtXxbbL9rwDXnbyyQCpjVY6,7489.214359,1000,1.836676996,1000,
160,8cAb93o9zCB13T97dU83i6pV13p4aMxKFEiysQUKY9vs,2237.02129,1000,1.578475128,1000,
247,5mUvThpg7QiXhFt35mwQPTGiZaSdmrMuQcVhaGg1vGL7,3732.047813,1000,1.525064803,1000,
464,6ur2bkcBNiKoGzwgNEuCKWPqJns2bKBxJqgATti19uJZ,1302.857725,1000,1.510421588,1000,
347,8CnGuyBekZpfY2Rdx9x9B3bBb7Jg1UM7kYuucTStYtHt,2551.63183,1000,1.48371322,1000,
352,Wt5oGkb2jrXXLWQbaX3Nz1CTfwrjreNkttLFj4LM1eC,578.0654872,1000,1.389488684,1000,
134,3r6t8sbnSXCnJXu6nMf6PJTUbiT16ouZoevg6enTSPsC,1281.931551,1000,1.385566019,1000,
124,7n7wQe4Gn36CXHyzuhRbpsWZ4z6QQBQakeqcWAyLvh97,4037.913127,1000,1.245811064,1000,
4,AzJpYX4iDVcsjcy2juDmeEiMBekFgBUCNB3WvoLSfSxm,956.9449729,1000,1.225617208,1000,
449,2tD7Rg6WEtETN1iGUDi5u9X1FG2dfhbevCt9WxbnTbs6,884.9884341,1000,1.077372619,1000,
492,Adn5mViJ9xNeh4RV8L5q4vPXApQGPH7vybtSAaURaZEy,322.5069572,1000,0.987927241,1000,
104,FyFnzfqVJ7LQavkDJmNdHr2CDAeiJDwFxmgAVb8pKfuS,1475.503439,1000,0.979172496,1000,
62,XMHyZgmA9P5iSPgmtifbAEpBN1f8MZKVSw2pACjnJEf,2388.029313,1000,0.941832932,1000,
454,FBwG2sAKuvV1dmbJnD7xeRHc5E7ZnEz3xhU1eLymj6sH,863.5786372,1000,0.866742276,1000,
168,53AkAhY9WsUnXEvMCXL2VxJdw6T74XLWPSuaLJz82rPS,3494.022633,1000,0.846456944,1000,
